Uniprot.ID,Symbol,Hu.Symbol,NVmean,NDmean,TVmean,TDmean,TVNVdir,NVND.adj,NVTV.adj,NVTD.adj,Tdrescue,J.Symbol,J.Uniprot,Fvalue,ANOVA,AS.pval.adj,AD.pval.adj,AS.sig,AD.sig,CT.log,AS.log,AD.log,AS.dir,AD.dir,AS.match,AD.match,AS.sigmat,AD.sigmat
O88685,Psmc3,PSMC3,0.8915,0.956,1.01725,1.0055,up,0.123451736,0.01459713,0.089147378,resc,PSMC3,R4GNH3,1.532595552,0.227280775,0.749862575,0.20694903,ns,ns,0,0.058422436,0.120500239,up,up,match,match,no,no
O88844,Idh1,IDH1,0.8965,1.039,1.44425,1.16125,up,0.444067231,0.020933223,0.114951316,resc,IDH1,O75874,1.985320988,0.149450444,0.313346199,0.140416383,ns,ns,0,0.151016788,0.185219912,up,up,match,match,no,no
P04925,Prnp,PRNP,1.0785,0.9285,0.9105,0.966,down,0.102569045,0.022729021,0.19483414,resc,PRNP,P04156-2,4.192238321,0.02155269,0.943658099,0.082176591,ns,ns,0,-0.051339763,0.20443329,down,up,match,unm,no,no
P05063,Aldoc,ALDOC,1.0055,1.033,1.21725,1.136,up,0.48503869,0.025444233,0.03358595,nr,ALDOC,P09972,0.053982511,0.947511325,0.949572446,0.960710074,ns,ns,0,0.014640849,0.014688813,up,up,match,match,no,no
P06745,Gpi,GPI,0.955,1.1245,1.344,1.14875,up,0.187760115,0.038665255,0.186178192,resc,GPI,P06744,0.658474837,0.522665887,0.903450409,0.798783447,ns,ns,0,-0.022340658,0.02502858,down,up,unm,match,no,no
P06837,Gap43,GAP43,0.82625,0.77625,0.61425,0.66925,down,0.457158601,0.010033139,0.118105282,resc,GAP43,P17677,2.323613192,0.109819897,0.378229943,0.091659074,ns,ns,0,-0.158446964,-0.202364415,down,down,match,match,no,no
P09411,Pgk1,PGK1,0.83425,1.0225,1.178,1.0465,up,0.054954442,0.019638669,0.012715531,nr,PGK1,P00558,0.915020899,0.407993561,0.394871136,0.884838424,ns,ns,0,0.064332931,0.025855278,up,up,match,match,no,no
P10126,Eef1a1,EEF1A1,1.01725,0.9385,1.2465,1.03425,up,0.48503869,0.044042841,0.876115353,resc,EEF1A1,P68104,2.624172458,0.083819064,0.999996176,0.151083397,ns,ns,0,0.002236333,0.115288113,up,up,match,match,no,no
P10649,Gstm1,GSTM1,0.80825,0.832,1.00425,1.04275,up,0.668166014,0.023788299,2.63E-05,nr,GSTM1,P09488,0.826152747,0.444557782,0.986404812,0.613476563,ns,ns,0,0.430268384,-1.088555228,up,down,match,unm,no,no
P10852,Slc3a2,SLC3A2,1.07375,1.20825,1.24825,1.16125,up,0.069701743,0.046110512,0.114786779,resc,SLC3A2,P08195-2,1.081228002,0.348018983,0.316130495,0.737643287,ns,ns,0,-0.073864655,-0.026661683,down,down,unm,unm,no,no
P11031,Sub1,SUB1,1.144,0.9965,0.84925,0.9395,down,0.510514461,0.006903068,0.015299072,nr,SUB1,P53999,3.455537337,0.040372818,0.031426463,0.391517079,sig,ns,0,-0.226915937,-0.106239303,down,down,match,match,yes,no
P11798,Camk2a,CAMK2A,1.10325,1.3555,1.565,1.38275,up,0.375805734,0.023058822,0.264435628,resc,CAMK2A,Q9UQM7,3.651441224,0.034106725,0.132421296,0.030344211,ns,sig,0,-0.145529072,-0.182880712,down,down,unm,unm,no,no
P14206,Rpsa,RPSA,1.14075,1.02925,0.9855,1.00725,down,0.06802612,0.015597304,0.015364236,nr,RPSA,C9J9K3,0.148851622,0.862129042,0.862375538,0.987293983,ns,ns,0,0.030830583,0.00663442,up,up,unm,unm,no,no
P14231,Atp1b2,ATP1B2,1.02475,1.12475,1.26175,1.15275,up,0.155750401,0.002705703,0.069204817,resc,ATP1B2,P14415,0.427427996,0.654863244,0.74766725,0.655900654,ns,ns,0,-0.037894325,-0.047575277,down,down,unm,unm,no,no
